player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Jeff Robinson,2009,2013,5,127,5.75,5,False
Jalen James,2014,2018,5,109,5.73,5,False
Daniel Dingle,2013,2017,5,121,5.71,5,False
Rex Pflueger,2016,2020,5,140,5.66,5,False
Ryan Sawvell,2012,2017,5,127,5.64,6,False
Lj Rose,2013,2017,5,106,5.63,5,False
Aaron Jackson,2009,2018,5,145,5.6,10,False
Andrew Taylor,2009,2021,5,119,5.6,13,False
Aaron Clayborn,2010,2014,5,133,5.59,5,False
Quinn Taylor,2016,2020,5,160,5.57,5,False
Stefan Nastic,2011,2015,5,126,5.57,5,False
Bj Miller,2011,2019,5,151,5.54,9,False
Duane Gibson,2014,2018,5,117,5.54,5,False
Jordan Stevens,2010,2015,5,125,5.54,6,False
Ryan Evans,2010,2021,5,139,5.48,12,False
Vertrail Vaughns,2010,2014,5,136,5.45,5,False
Malik Thomas,2010,2015,5,129,5.43,6,False
Devin Gage,2017,2021,5,97,5.4,5,False
Dorvell Carter,2009,2013,5,77,5.4,5,False
Wendell Lewis,2010,2015,5,125,5.38,6,False
Amadi Udenyi,2014,2018,5,105,5.34,5,False
Will Barrett,2010,2014,5,107,5.33,5,False
Dontel Highsmith,2014,2019,5,94,5.32,6,False
Jahmel Taylor,2014,2018,5,98,5.32,5,False
Jeylani Dublin,2011,2015,5,116,5.28,5,False
Brocke Stepteau,2015,2019,5,101,5.26,5,False
Chuba Ohams,2017,2021,5,71,5.26,5,False
Javan White,2016,2020,5,108,5.24,5,False
Norense Odiase,2015,2019,5,128,5.24,5,False
John Green,2010,2016,5,72,5.21,7,False
Kevin Ware,2012,2016,5,128,5.21,5,False
Daniel Munoz,2010,2014,5,130,5.17,5,False
Jalen Williams,2017,2021,5,121,5.16,5,False
Aaron Falzon,2016,2020,5,109,5.12,5,False
Alex Murphy,2013,2017,5,91,5.1,5,False
Nino Williams,2011,2015,5,109,5.1,5,False
Terrance Shannon,2010,2014,5,92,5.1,5,False
Kyle Thomas,2010,2017,5,136,5.09,8,False
Jonathan Arledge,2011,2015,5,133,5.08,5,False
Brandon Walters,2009,2018,5,142,5.01,10,False
Alex Jones,2010,2021,5,113,5.0,12,False
Kristijan Krajina,2010,2015,5,115,4.99,6,False
Josh Nicholas,2013,2021,5,127,4.93,9,False
Mark Williams,2014,2021,5,147,4.9,8,False
Dante Williams,2012,2017,5,128,4.87,6,False
Sam McLaurin,2009,2013,5,127,4.85,5,False
Ty Gibson,2016,2020,5,140,4.85,5,False
Terrance Leflore,2014,2018,5,123,4.84,5,False
Steven Davis,2011,2017,5,71,4.83,7,False
Anthony Winbush,2009,2013,5,123,4.82,5,False
Tyler Smithpeters,2014,2018,5,123,4.81,5,False
Mike Best,2012,2016,5,137,4.73,5,False
Brady Ellingson,2015,2019,5,125,4.72,5,False
Brevin Pritzl,2016,2020,5,122,4.72,5,False
Cordell Pemsl,2017,2021,5,109,4.68,5,False
Trevor Stumpe,2016,2020,5,86,4.65,5,False
Joey Van Zegeren,2012,2016,5,104,4.63,5,False
Marquise Simmons,2010,2014,5,113,4.6,5,False
Atif Russell,2013,2017,5,110,4.59,5,False
